1.95, -0.12, 0.40, -0.16, 0.12, 0.05
-0.33, 2.53, -0.98, -0.24, -0.10, -0.55
0.13, -0.43, 2.17, 0.06, -0.35, -0.01
-0.36, 0.16, -0.16, 2.65, -0.28, -0.08
0.51, 0.02, 0.04, -0.69, 2.38, -0.54
0.09, 0.87, -0.42, -0.09, 0.10, 0.68
2.06, -0.13, 0.40, 0.27, 0.01, 0.05
-0.19, 2.46, -0.95, 0.08, -0.15, -0.54
0.28, -0.38, 2.18, -0.19, -0.24, -0.02
0.13, 0.16, -0.38, 3.05, -0.39, -0.02
0.26, -0.20, -0.32, -0.59, 2.56, -0.47
-0.25, -0.07, 0.60, -0.36, 0.86, 0.41
1.89, 0.02, 0.17, -0.04, 0.17, -0.05
-0.26, 2.45, -1.03, -0.19, -0.18, -0.51
0.21, -0.39, 1.99, 0.23, -0.33, -0.04
-0.20, 0.30, -0.18, 3.05, -0.61, -0.09
0.67, -0.10, -0.28, -0.46, 2.26, -0.39
0.39, 0.23, 0.32, -0.52, 0.73, 0.48
1.98, -0.06, 0.22, 0.35, 0.06, -0.09
-0.13, 2.35, -0.57, -0.11, 0.01, -0.51
0.27, -0.44, 2.19, -0.06, -0.21, 0.00
-0.57, 0.27, -0.08, 2.97, -0.46, -0.04
0.20, 0.06, -0.32, -0.70, 2.59, -0.42
-0.13, 0.58, -0.05, -0.10, 0.60, 0.63
2.04, -0.19, 0.62, -0.14, -0.11, 0.02
-0.09, 2.51, -0.76, -0.08, -0.10, -0.48
0.24, -0.35, 2.02, -0.07, -0.26, -0.01
-0.29, 0.33, -0.10, 2.83, -0.65, -0.01
0.61, 0.16, -0.36, -0.50, 2.38, -0.29
-0.46, 0.09, 0.76, -1.04, 0.60, 0.82
2.12, -0.12, 0.45, -0.11, 0.01, -0.05
-0.01, 2.47, -0.56, 0.01, -0.11, -0.40
0.01, -0.25, 2.06, 0.16, -0.24, -0.03
-0.21, -0.23, -0.11, 3.22, -0.60, -0.12
0.15, -0.02, -0.15, -1.02, 2.49, -0.55
-0.49, 0.07, 0.56, -0.65, 0.66, 0.53
1.87, 0.11, 0.24, -0.16, 0.11, -0.03
0.07, 2.53, -0.80, -0.04, -0.08, -0.46
-0.20, -0.44, 2.24, -0.30, -0.34, -0.08
-0.30, 0.31, 0.04, 2.80, -0.54, 0.02
0.70, 0.44, -0.08, -0.20, 2.23, -0.25
-0.38, 0.27, 0.07, 0.68, 0.32, 0.57
2.00, 0.16, 0.27, -0.02, -0.07, 0.06
-0.05, 2.46, -0.55, -0.04, -0.02, -0.46
0.30, -0.50, 2.18, -0.24, -0.32, -0.04
-0.26, 0.08, -0.33, 3.56, -0.52, -0.02
0.44, 0.13, -0.18, -0.91, 2.42, -0.43
0.36, 0.09, 0.33, 0.75, 0.00, 0.37
1.99, -0.10, 0.39, 0.17, -0.13, 0.00
-0.18, 2.62, -0.90, -0.27, -0.07, -0.53
0.15, -0.41, 2.23, -0.49, -0.00, -0.10
-0.30, 0.05, -0.13, 3.29, -0.39, -0.06
0.62, 0.35, 0.11, -0.34, 2.09, -0.38
-0.05, 0.48, 0.15, -0.45, 0.46, 0.65
2.17, -0.09, 0.41, -0.22, -0.10, 0.00
-0.05, 2.36, -0.78, 0.06, 0.02, -0.48
0.30, -0.41, 2.09, -0.02, -0.26, 0.03
-0.56, -0.03, -0.07, 2.95, -0.57, -0.11
0.54, 0.24, -0.18, -0.39, 2.27, -0.35
-0.17, 0.51, 0.10, 0.12, 0.25, 0.61
2.11, -0.10, 0.27, 0.06, -0.04, 0.06
-0.35, 2.49, -0.81, -0.19, -0.12, -0.54
0.33, -0.40, 2.09, -0.30, -0.19, 0.01
0.13, 0.01, 0.04, 3.10, -0.54, -0.03
0.45, 0.11, -0.27, -0.57, 2.64, -0.48
0.21, 0.25, -0.22, 0.71, 0.24, 0.62
1.77, -0.03, 0.24, 0.29, 0.19, -0.03
0.01, 2.39, -0.68, 0.01, -0.21, -0.37
0.31, -0.31, 2.07, -0.05, -0.27, 0.05
-0.13, 0.15, -0.12, 3.57, -0.80, -0.08
0.41, -0.09, -0.33, -0.20, 2.40, -0.39
-0.02, 0.52, -0.23, 0.26, 0.72, 0.46
1.62, 0.12, 0.22, -0.02, 0.26, -0.13
-0.07, 2.51, -0.72, 0.03, -0.18, -0.41
0.07, -0.45, 2.19, -0.22, -0.27, -0.12
0.20, -0.03, -0.03, 3.24, -0.55, 0.01
0.91, 0.49, -0.34, -0.54, 2.42, -0.26
-0.15, 0.35, 0.54, -0.83, 0.50, 0.62
1.75, 0.06, 0.35, 0.09, 0.04, 0.02
-0.18, 2.39, -0.61, -0.04, -0.19, -0.50
0.02, -0.50, 2.18, -0.04, -0.31, -0.11
-0.21, 0.09, -0.36, 3.69, -0.88, -0.14
0.66, 0.19, -0.45, -0.60, 2.72, -0.39
0.12, 0.14, 0.23, 0.45, 0.71, 0.47
1.81, -0.19, 0.43, 0.02, 0.09, -0.00
-0.03, 2.33, -0.65, 0.05, -0.07, -0.45
0.12, -0.37, 2.02, 0.06, -0.37, -0.11
-0.37, 0.23, 0.03, 3.09, -0.70, -0.06
0.95, 0.17, -0.21, -0.41, 2.13, -0.32
-0.21, 0.33, -0.11, 0.54, 0.46, 0.51
2.23, -0.26, 0.53, -0.15, -0.09, 0.12
-0.11, 2.36, -0.62, -0.07, -0.18, -0.49
0.04, -0.63, 2.38, -0.25, -0.29, -0.14
-0.06, 0.27, -0.21, 2.76, -0.33, 0.00
0.67, 0.21, -0.21, -0.86, 2.52, -0.42
-0.11, 0.16, -0.04, 0.22, 0.79, 0.50
2.04, 0.13, 0.13, -0.05, 0.19, -0.03
-0.04, 2.34, -0.59, -0.00, -0.17, -0.43
0.21, -0.56, 2.23, -0.11, -0.40, -0.11
-0.16, 0.09, -0.11, 3.36, -0.48, -0.06
0.66, 0.25, -0.51, -0.69, 2.46, -0.42
-0.71, 0.28, -0.05, 0.99, 0.27, 0.39
1.66, 0.07, 0.03, 0.51, 0.37, -0.13
0.04, 2.18, -0.48, 0.03, -0.06, -0.46
0.25, -0.44, 2.09, 0.12, -0.41, -0.06
-0.15, 0.22, -0.05, 3.01, -0.63, -0.07
0.73, 0.39, -0.20, -0.03, 2.32, -0.24
-0.19, 0.32, 0.64, -0.63, 0.28, 0.56
1.89, 0.06, 0.24, -0.20, 0.10, -0.10
-0.23, 2.59, -0.60, -0.22, -0.21, -0.45
-0.11, -0.59, 2.29, -0.30, -0.31, -0.12
-0.24, 0.27, -0.12, 3.14, -0.59, -0.08
0.33, -0.04, -0.27, -0.48, 2.59, -0.51
-0.40, 0.69, 0.17, -0.69, 0.22, 0.64
2.09, 0.18, 0.14, 0.18, -0.01, -0.00
-0.02, 2.51, -0.81, -0.04, -0.18, -0.46
-0.02, -0.26, 2.06, -0.13, -0.23, -0.08
-0.31, -0.02, -0.12, 3.41, -0.77, -0.05
0.49, 0.00, -0.43, -0.17, 2.58, -0.41
0.01, -0.29, -0.02, 0.82, 0.21, 0.29
